Epoch,Train loss,Val loss,Val macro F1,Val macro AUROC,LR,Note
1,0.8176,2.3626,0.1505,0.8023,1.00e-04,
5,0.1595,1.8562,0.3663,0.8725,9.57e-05,
10,0.0873,1.4645,0.5057,0.9022,7.94e-05,
15,0.0555,1.4067,0.5545,0.9088,5.52e-05,
20,0.0442,1.3117,0.5696,0.9209,2.97e-05,
25,0.0339,1.2684,0.5682,0.9228,9.55e-06,
30,0.0374,1.2511,0.5839,0.9233,2.74e-07,best (selected checkpoint)
