epoch,train_loss,val_loss,val_macro_f1,val_macro_auroc,lr
1,0.817638960132528,2.3625751665304597,0.1504698830021047,0.8023172989821888,0.0001
2,0.35632805087436303,2.441901961754881,0.217933292418911,0.8375130939186046,9.972609476841367e-05
3,0.24573556965196244,2.3104185826940262,0.28368960565225987,0.8527882217844203,9.890738003669029e-05
4,0.21287245136334262,1.9783925144852919,0.32576484340234685,0.8696658962622096,9.755282581475769e-05
5,0.15953739337310285,1.856162254555107,0.366339899386047,0.8725004932643375,9.567727288213003e-05
6,0.13517973051262527,1.6559311451083998,0.4535581131321593,0.8770480425575348,9.330127018922194e-05
7,0.12640418933523073,1.7634125936280343,0.4451559273425885,0.8743735702158714,9.045084971874738e-05
8,0.10647770236157172,1.5062359267208658,0.4671061255443304,0.893147219999611,8.715724127386972e-05
9,0.0933954181398061,1.6025069707678752,0.5110124432789601,0.8921910213497352,8.345653031794292e-05
10,0.08725029136267297,1.464529247959351,0.505699640929574,0.9021901216665305,7.938926261462366e-05
11,0.08417929623194062,1.450338028740945,0.5145729047605185,0.8904921643209397,7.500000000000001e-05
12,0.07486128997056612,1.4865618810329986,0.5454949933591386,0.9082162588370545,7.033683215379003e-05
13,0.06335136237543877,1.3678116163448004,0.5444433539223811,0.9165530309036533,6.545084971874738e-05
14,0.06471135870784189,1.4600304756556728,0.5608807556249877,0.9086114710727726,6.039558454088797e-05
15,0.05545120498804459,1.4066523112765181,0.5545059257297013,0.9087875526928968,5.522642316338269e-05
16,0.054407061902038444,1.3925124157813449,0.5655020268219157,0.9168982811254408,5.000000000000002e-05
17,0.04787993060584002,1.3836768775322419,0.553324031446827,0.9118235975706457,4.4773576836617344e-05
18,0.0463938597109306,1.4235193964395447,0.5503775262029028,0.9152873301146022,3.9604415459112035e-05
19,0.04222680842602331,1.339782078334619,0.5745227381874852,0.9158504127174938,3.4549150281252636e-05
20,0.04419143477088211,1.3117395387305915,0.5695788333619665,0.9209157327412308,2.9663167846209998e-05
21,0.038733379844596336,1.312098840042443,0.5738144300970685,0.9190371362227484,2.5000000000000018e-05
22,0.03454277821798149,1.255707829490343,0.5757774066018755,0.9227683512267246,2.0610737385376356e-05
23,0.03942549881737885,1.310113081732867,0.5722777776245168,0.9225705907497658,1.654346968205711e-05
24,0.0377657404395554,1.217542763478451,0.5705802900549247,0.9248996719996718,1.2842758726130297e-05
25,0.03391071423245511,1.2684275767821866,0.5681764263474506,0.922789055919773,9.549150281252636e-06
26,0.03528124614762634,1.3108852404527191,0.5732994386614035,0.9192361084283219,6.698729810778068e-06
27,0.03462776484410019,1.298709181674778,0.5738436379000695,0.9197851141021375,4.322727117869953e-06
28,0.03266450271443473,1.2721374439508424,0.5824691520194527,0.9221270628641639,2.447174185242324e-06
29,0.03416440611339678,1.3184540640591953,0.5786067192396404,0.9189858427469907,1.092619963309716e-06
30,0.0373574495187864,1.2511228173582112,0.5839484357569342,0.9233065889860866,2.7390523158633003e-07
